SAMPLE ID,IGSN,SOURCE,REFERENCE,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MAX ELEVATION,MIN ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,NI,CO,CU,CD,ZN,S,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,BA,CD,CO,CR,CS,CU,HF,MO,NB,NI,PB,RB,S,SB,SC,SE,SN,SR,TA,TE,TH,TI,TL,U,V,Y,ZN,ZR,TI
DANCSAF-RVD167,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,42.53,0.15,0.83,,3.72,,,,0.1,45.93,0.4,,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD168,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD168,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD168,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,45.97,0.09,1.14,,3.18,,,,0.07,44.35,0.5,,0.0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD172,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD172,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD172,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,44.55,0.23,3.17,,1.9,,,,0.19,39.92,2.8,,0.1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD174,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,AAS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD174,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD174,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD174,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,44.27,0.16,0.94,,2.84,,,,0.12,45,0.4,,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD175,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD175,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD175,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,46.71,0.03,1.32,,1.81,,,,0.09,42.55,1.7,,0.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD181,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD181,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD181,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,43.57,0.08,0.54,,2.86,,,,0.08,47.6,0.33,,0.0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD184,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD184,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD184,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,44.69,0.05,1.22,,2.44,,,,0.09,46.26,0.55,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
